"Séquentiel";"SID";"Heure de soumission";"Heure de complétion";"Heure de modification";"Brouillon";"Adresse IP";"UID";"Nom d'utilisateur";"Type";"Nom du commerce";"Code postal";"Ville";"Qu'est-ce que ce commerce propose ? Comment aider ce commerce ?";"Site web";"facebook"
"2";"3950578";"17/03/2020 - 16:32";"17/03/2020 - 16:32";"19/03/2020 - 22:44";"0";"0.0.0.0";"0";"Anonymous";"Restaurant";"Le 19";"22100";"Dinan";"- Drive crèpes et galettes
- Autres plats à la livraison (dhaal de lentilles corail, de la lasagne de poisson et un cochon en tendresse...)
- Pour les commandes, voici le numéro : 0951051054";"";"https://www.facebook.com/profile.php?id=100015999465308"
"3";"3980763";"19/03/2020 - 22:20";"19/03/2020 - 22:20";"19/03/2020 - 22:20";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Ferme de Locria";"22270";"Mégrit";"Les livraisons à domicile de produits laitiers :
yaourts en 50p g ou 1 kg nature.
Lait cru entier en litre
Fromage frais de vache
Fromage frais de chèvre
Picotou (fromage de chèvre demi sec cendré).
Pains :
Farine ancienne t80 ou t 110 au levain . Se conserve bien toute la semaine.
Nature en 500 g
Nature en kg
Pain algérien levain et levure.
Livraison vendredi et samedi après midi. Jugon les lacs, plestan,
Megrit, languedias, trebedan, la landec, plelan le petit , broons, tremeur
Commandes en mp ou au 06 33 48 52 21 sms. ";"";"https://www.facebook.com/Ferme-de-Locria-774375749241773"
"4";"4050425";"25/03/2020 - 22:26";"25/03/2020 - 22:26";"25/03/2020 - 22:26";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Les jardins de la Fontaine";"22980";"La Landec";"Les jardins de la Fontaine, 17 le bourg 22980 La Landec est ouvert tous les matins, il vous propose un large choix de fruits et légumes bio de saison.";"http://lavilleheleuc.com/jardins-de-la-fontaine/";""
"5";"4050643";"25/03/2020 - 23:20";"25/03/2020 - 23:20";"25/03/2020 - 23:20";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"La ferme en direct";"22630";"Les Champs-Géraux";"Collectif de producteurs autour de Dinan (légumes, viande, miel, produits laitiers, confitures, fruits, oeufs...)

Livraisons sur  points relais parking ou à domicile sont mis en place :

Vous choisissez le point relais parking qui vous arrange (un créneau horaire est proposé) ou Livraison à DOMICILE*: nous vous proposons ensuite selon les commandes et la tournée de venir au plus proche de chez vous
* gratuit à partir de 50€ de commandes tous produits confondus

Vous  commandez

 Nous vous confirmons une heure plus précise de rendez vous sur le parking la veille

IMPORTANT: renseignez bien votre adresse et téléphone sur le site

 

A la distribution : vous ouvrez votre coffre, nous chargeons votre colis.
à la Maison nous déposons la commande à votre porte 

Le paiement s’effectue en ligne après livraison à la réception des factures 


En raison du nombre important de commandes merci d'anticiper au maximum les commandes... désormais clôture le mardi soir.";"https://www.lafermeendirect.fr/";""
"6";"4050653";"25/03/2020 - 23:24";"25/03/2020 - 23:24";"25/03/2020 - 23:24";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Ferme de la Paumerais";"22490";"Pleslin-Trigavou";"Service de livraison à domicile 
- Au détail ou par colis /
- Livraison sous 24h
- conditionnement sous vide

Sur un rayon de 20km au tour de notre exploitation

Paiement par CB uniquement

Commande par message : jocelyn.heuze@wanadoo.fr";"";"https://www.facebook.com/Fermedelapaumerais/"
"7";"4057375";"26/03/2020 - 14:40";"26/03/2020 - 14:40";"26/03/2020 - 14:40";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Mr Hinard, maraîcher";"22630";"Evran";"Maraicher à Evran vous propose de passer commande aujourd'hui et de venir au domicile récupérer votre commande des demain
- Légumes :choux fleurs,choux,choux romanesquau, poireaux,carottes, pommes de terre,oignons, ails, échalotes,endives, courgettes, poivrons,tomates. 
- Fruits : pommes,poires,bananes,oranges,clémentines,datteet figues ficelle
- légume local en culture résonné

Contacter Mr Hinard au 0645911023";"";"https://www.facebook.com/groups/dinanpratique/permalink/649836712495799/"
"8";"4074510";"27/03/2020 - 19:16";"27/03/2020 - 19:16";"27/03/2020 - 19:16";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Ferme de la Salamandre";"22630";"Le Quiou";"Pour Caroline Bodart et Benjamin Decherf, de la Ferme de la Salamandre (tél. 06 74 63 98 62), au Quiou, la situation est compliquée : « Nous vendons la moitié de notre production dans des boutiques, et le reste sur les marchés. Nous ne pouvons pas fermer le robinet de lait de nos chèvres et de nos brebis, ni empêcher nos poules de pondre ! Nous proposons donc de la vente directe, les mercredis et vendredis, de 17 h à 19 h 30, avec toutes les normes d’hygiène nécessaires ».";"https://www.jours-de-marche.fr/producteur-local/ferme-de-la-salamandre-243.html";""
"9";"4076264";"27/03/2020 - 23:34";"27/03/2020 - 23:34";"27/03/2020 - 23:34";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Les Jardins Maraîchers des bords de Rance";"22490";"Plouër-sur-Rance";"En ces temps de confinement, nous vous proposons de commander vos légumes en ligne.

Vous pouvez venir les chercher à la ferme:
- le mercredi de 15 à 17 h pour toutes commandes avant mardi soir
- le vendredi de 15 à 17 h pour toutes commandes avant jeudi soir
";"https://www.jardinsmaraichers.com/";""
"10";"4076282";"27/03/2020 - 23:39";"27/03/2020 - 23:39";"27/03/2020 - 23:39";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Arôm’Éthic";" 22630";"Evran";"La ferme Arôm’Éthic, à Évran, qui propose désormais de livrer ses plants maraîchers, à une quarantaine de kilomètres à la ronde.";"https://www.arom-ethic.fr/";""
"11";"4076289";"27/03/2020 - 23:41";"27/03/2020 - 23:41";"27/03/2020 - 23:41";"0";"0.0.0.0";"0";"Anonymous";"Producteur";"Gaec Les Maraîchers de la Reimbaudière";"35720";"Plesder";"« Nous avons reçu énormément de coups de fil de nos clients. Nous avons préparé des paniers, que nous avons livrés toute la journée, jeudi. Nous allons continuer à préparer ces commandes, selon les SMS que nous recevrons, jusqu’au mardi soir. On garde le rythme du marché, en livrant le jeudi ».
tél : 06 30 37 01 94";"";""
